Actor Name,Work
Adam Moṭil,"איך  אתה הולך?, איך אתה הולך (23 בינואר 1959), איך אתה הולך?"
Adrian Stor,אוי! אני מאוהב
Akram Tillawi,Pink Subaru
Aleph Millepied,תור: אהבה ורעם
Amalia Millepied,תור: אהבה ורעם
Amir Blumenfeld,"Jake and Amir, Lonely and Horny, The CollegeHumor Show, חג מולד הרולד וקומר שמח"
Andrea Bensussen,"Movie Lovers, Street Walker, The Virtual, היו זמנים בהוליווד"
Andrey Vasilyev,"Generation P, Nevalyashka"
Bianca Kreisler,"A nakhṭ in Riyo, A ḥos̀n miṭ nadn!, Der ḳibitser (July 27, 1967), Geshosn un getrofn"
David Strajmayster,"La Maison du Bonheur, Le missionnaire, Second Chance"
Elena Grigore,אוי! אני מאוהב
Erika Pfeiffer,אוי! אני מאוהב
Felix Caroly,אוי! אני מאוהב
Fyodor Dunayevsky,Dear Yelena Sergeevna
Gad Klein,Virgin Machine
Gilles Bénichou,A Gang Story
Grigory Lyampe,"Anna Pavlova, Capablanca, Nameless Star, Primary Russia, The Ballad of the Valiant Knight Ivanhoe, The Hound of the Baskervilles (1971 film)"
Hanan Hillo,"The Reports on Sarah and Saleem, פאודה"
Igor Mirkurbanov,"Generation P, Q130553811, Q4300704, Q48947437, Split, The Queen of Spades, האיום, הקרב"
Jonathan Avigdori,אמילי הפושעת
Jonathan Kashanian,2061: An Exceptional Year
Lee Amir-Cohen,The Other Place
Mosheh Shṭurm,"Yoysef Bulof in 3 eynaḳṭer fun Anṭon Ṭshekhoṿ, הדוד אמריקה, יונה עושה חיים"
Niusia Gold,Der dibeḳ
Sergei Priselkov,"Professiya - sledovatel, Q4198222, Ransom, Spinning Boris"
Shaden Kanboura,טעם התפוחים אדום
Shahnaz Tehrani,"Q14756782, Q14756844"
Shaiḳeh Ṿidal,יונה עושה חיים
Shane Gillis,"Bupkis, Shane Gillis: Beautiful Dogs, Tires"
Shifrah Gold,A ṭog in ir lebn
Tatyana Fedorovskaya,How I Met Your Mother
Thurayyā Fakhrī,"A Window on Paradise, Appearances, Dawn, Q102292899, Q104455484, Q108375628, Q108396448, Q108678368, Q109355618, Q113501609, Q113536122, Q12190304, Q12227760, Q27907994, Q28542200, Q28868125, Q30314575, Runaway from Marriage, Share'e Al-Bahlawan, The Pasha's Wife, The Unknown Woman"
Yanislav Levinzon,"Okhota na sutenyora, Q4160178, Q4415654"
Yaʾel Tavlin,"A ṭog in ir lebn, האחים אשכנזי"
Yisrael Campbell,Circumcise Me
Yitzhak Feigenblum,"שא, שא השלום בא!"
Yosef Gur,A ṭog in ir lebn
Zachary Laoutides,"Adios Vaya Con Dios, Arise from Darkness, Black Ruby"
Zeʾev Goldiger,מירלה אפרת
Zeʾev Rieber,"Der ḳibitser (April 27, 1967)"
אבי אוריה,"איזה מקום נפלא, תחיה ותהיה"
אבי גרייניק,"העולם מצחיק, זולגות הדמעות מעצמן, זרים מושלמים, חתה יסבח סבח, מעשייה אורבנית, עיניים פקוחות"
אבי דנגור,"לבד בבית, מטומטמת, על הספקטרום"
אבי חדש,"Seven in Heaven, להיטים מצוירים משלנו, תחיה ותהיה"
אבי מוגרבי,54 השנים הראשונות
אבי פניני,"אדומות, אין שמות על הדלתות, לחיי האהבה"
אבי קורניק,"השמיניה, חצויה"
אבי קושניר,"אלכס חולה אהבה, בנות, האינסטלטור, החיים זה לא הכל, מטאליק בלוז"
אביב אלוש,"הבקתה, ישמח חתני, להיות איתה, עספור, רימון הזהב, שלטון הצללים, שעת נעילה"
אביב פנקס,"נעלמים, פלמ""ח"
אביבה אפל,הרוצחים הקטנים
אביבה גר,"אשה זרה, האסיסטנט של אלוהים"
אביבה מרקס,"בלומפילד, גן עדן (סרט, 1982)"
אביבה נגוסה,קופה ראשית
אביגיל אריאלי,"גיבורים קטנים, המוסד, חולה אהבה בשיכון ג', תל אביב לוס אנג'לס"
אביגיל הררי,"אחד בלב, ביום שהאדמה רעדה, האי, למראית עין, מנפאואר, מתים לרגע"
אביגיל קובארי,פרה אדומה (סרט)
אביטל אברג'יל,חובו של אהרון כהן
אביטל דיקר,"החטא ועונשו (סרט רוסי, 2002), החיים על פי אגפא, הקיץ של אביה, מרקו פולו, שירת הסירנה"
אביטל פסטרנק,"אליס, מלח הארץ, סוף שבוע בתל אביב"
אבינעם מור-חיים,איגור ומסע העגורים
אבישי שטרית,עלילות ארץ גושן
אביתר לזר,"זוהר הרקיע, נקמה יהודית 6"
אבנר חזקיהו,"אבו אל בנאת, אגדת שלושה וארבעה, אני אוהב אותך רוזה, בלפר (סרט, 1978), הבית ברחוב שלוש, על חבל דק, שבע פעמים ביום, שניים עשר המושבעים"
אבנר כץ,רחוב סומסום
אברהם אבוטבול,האושפיזין
אברהם בן-יוסף,"אחרי הנפילה, בגלל חגורה, דון ז'ואן, מורדי האור"
אברהם הפנר,"חור בלבנה, שבע פעמים ביום"
אברהם חלפי,דון ז'ואן
אברהם מוטיל,יש ליהודי ארצונת!...
אברהם מור,הדה גבלר
אברהם ניניו,המלט
אברהם סלקטר,"בני מצווה, גט - המשפט של ויויאן אמסלם, העולם מצחיק, חולה אהבה בשיכון ג', תחיה ותהיה"
אברהם קירשנבוים,"A ḥos̀n miṭ nadn!, Der ḳibitser (July 27, 1967), Gidʻon, אלהים, אדם ושטן, גצל הגזלן"
אברהם קרני,"איך  אתה הולך?, איך אתה הולך?, מכירים אותך, דוד!..."
אברהם רונאי,"השקרן, קומדיה של טעויות"
אברהם שלום לוי,אלף
אבשלום פולק,הברך
אגם רודברג,"אהבה מעבר לפינה, חזרות, מתים לרגע, פצועים בראש"
אדי קבטנר,"הגולם (סרט, 2019), מתים לרגע"
אדיב ג'השאן,צמות
אדיר מילר,"גן קופים, הסודות, פלאות, פעם הייתי, צומת מילר, רמזור"
אדית אסטרוק,דודה ליזה
אדם גבאי,"כיסופים, תמונת הניצחון"
אדם הירש,"בקרוב יקרה לך משהו טוב, פיתוי, ראש גדול"
אדם קארסט,ביום שהאדמה רעדה
אדם קנת,אילי ובן
אהובה קרן,"ביקור התזמורת, לא בלי בתי, מפריח היונים, שורו"
אהרון אלמוג,"אירמה לה דוס, דון ז'ואן, ילדי סטלין"
אהרון וודובוז,"איש הניסים, האמן ומרגריטה, להרוג את איב, מקמאפיה, קינגס מן: ההתחלה"
אהרן איפלה,"A Ghost in Monte Carlo, Eye of the Widow, Madron, The Bible, The Concorde ... Airport '79, The Shooting Party, Vibes, אישתר, בנו של הפנתר הורוד, המומיה, המומיה חוזרת, הפשיטה על אנטבה, זאנאדו, כנר על הגג, מלחמתו של צ'ארלי וילסון, משה"
