TV Show,Actor
Candy Can Do It,"איקה זהר, גיליה שטרן"
Dagvaktin,יון גנאר
Here we are,"היינץ ברנרד, שרה אמן"
Kokhav Nolad 9,צביקה הדר
Neighbours,"היינץ ברנרד, פיטר פריי, שרה אמן"
PPS,"אניה בוקשטיין, גיא זוארץ, הנרי דוד, ורד פלדמן, חנה לסלאו, יהונתן מרגי, מיכל צפיר, קרן צור, ריף נאמן, שלומי טפיארו"
Seven in Heaven,"אבי חדש, גיליה שטרן, צביקה פורמן"
Street Food Around The World,ישי גולן
אבא מטפלת,"גאיה באר גורביץ', דאנה איבגי, דין הפנר, יובל סמו, יפית אסולין, רבקה מיכאלי, רוי מילר"
אבידות ומציאות,מיה דגן
אבירם כץ,"ג'וי ריגר, דנה מודן, דפנה לוין, יחזקאל לזרוב, יניב ביטון, עדנה בליליוס, עלא דקה, ערן קולירין, ששון גבאי"
אדומות,"אבי פניני, גיא הוכמן, דניאלה קרטס, חיים זנאתי, מקס אולארצ'יק, שרון אלכסנדר"
אהבה מעבר לפינה,"אגם רודברג, דפנה רכטר, יהודה לוי, מירי בוהדנה, סמי הורי"
אוטונומיות,אסי כהן
אופוריה,"דולב מסיקה, דפנה לוין, דקל עדין, יהלי תסאת, מאור שוויצר, רוני דלומי, רועי ניק"
אזהרת מסע,"אנדראה ברנצן, אנקה פון דר ליפה, אסף זגה, גולן אזולאי, דניאל ליטמן, ורד פלדמן, עמוס תמם, ראידה אדון, רותם אבוהב, שאדי מרעי"
אחד העם 1,"אורי גוטליב, אילן פלד, ארז בן הרוש, יעל פוליאקוב, ענת מגן-שבו"
אחד העם 101,"אורי גוטליב, אילן פלד, ארז בן הרוש, יעל פוליאקוב, ענת מגן-שבו"
אחרי הצלצול (סדרת טלוויזיה ישראלית),"ידין גולדמן, עמרי לוקאס, תותי ניניו"
אחת אפס אפס,"אלי אלטוניו, אפרת דור, גולן אזולאי, ולדימיר פרידמן, זהר שטראוס, מוריס כהן, עמוס תמם, ריקי בליך, שרון אלכסנדר"
איסט סייד,"אמיר ח'ורי, יהודה לוי, נטע ריסקין"
איש חשוב מאוד,"אלמה דישי, גל לב, יהודה לוי, ליהי קורנובסקי, מאור שוויצר, מורן רוזנבלט, מיקה אלמוג, נטע ריסקין, סלבה ביברגל, קובי דורון, רומי אבולעפיה, תומר אופנר"
אליפים,יותם קושניר
אלף,"אברהם שלום לוי, דורון צברי, דנה מיינרט, הילה סורג'ון פישר, זהר שטראוס, יעקב זדה-דניאל, ליז רביאן, מורין אמור, מיכאל ורשביאק, עירית נתן בנדק, רינת מטטוב, שושה גורן, שרה וינו-אלעד, שרון אלכסנדר, שרון מלכי-שמש"
אמא ואבאז,"יהודה לוי, מיה דגן"
אסתי המכוערת,ריקי בליך
ארץ נהדרת,"אודי כגן, אורנה בנאי, איל קיציס, אלי פיניש, אסי כהן, דב נבון, טל פרידמן, יובל סמו, ירון ברלד, ליאור אשכנזי, ליאת הר לב, מריאנו אידלמן, עלמה זק, ערן זרחוביץ', רועי בר-נתן, שני כהן"
בובות (טלנובלה),"אלי אלטוניו, גאלה קוגן, גיא לואל, גילי סער, גל גדות, דודו טופז, דנה פרידר, זהר ליבה, מיכאל הנגבי, מיקי קם, מירי בוהדנה, שחר חסון"
בחצר של פופיק,"יעל לבנטל, פיני טבגר"
בטיפול,"איילת זורר, אסי דיין, אסי לוי, גילה אלמגור, ליאור אשכנזי, מאיה מרון, מוני מושונוב, מירב גרובר, עלמה זק, רמי הויברגר"
ביום שהאדמה רעדה,"אביגיל הררי, אדם קארסט, אורטל בן-שושן, אורי גבריאל, איילת רובינסון, אניה בוקשטיין, אסנת פישמן, גלעד קלטר, דניאל גל, ולדימיר פרידמן, ליאנה עיון, נדב נייטס, סיני פתר, עודד לאופולד, צחי הלוי, ריימונד אמסלם, שלום מיכאלשווילי, תום גרציאני"
בילי,"אילן פלד, אילנית גרשון, חנן סביון, ידידיה ויטל, שירה וילנסקי, שמואל וילוז'ני, תומר אופנר"
בית ספר לשטויות,"אודי גוטשלק, עמית בחובר"
בלאדי מורי,"נעמי לבוב, רותם סלע"
בלי פאניקה!,"גורי אלפי-אהרון, לוסי איוב"
בלקספייס,"אסי לוי, ג'ייד הדס סקורי, גורי אלפי-אהרון, גילי איצקוביץ', ליאנה עיון, מירב שירום, עונג אפרון, רעות אלוש, שי אביבי"
בנות הזהב (סדרת טלוויזיה ישראלית),חנה לסלאו
בני מצווה,"אברהם סלקטר, חן אמסלם, יואב לוי, עידו ברטל"
בעלת החלומות,"אודיה רש, אייל שיקרצי, אימרי ביטון, אליאנה תדהר, אנחל בונני, בר ברימר, גל מלכה, דניאל ליטמן, זאק פקיאל, חנן סביון, יואב לוי, יורם טולדנו, ליאנה עיון, מאי מיכאלי, מור סרוסי, מורן ארביב גנס, משה אשכנזי, עומר חזן, עומר נודלמן, צופית גרנט, רובי פורת-שובל, רוני מרון קליין, רועי רביב, שושה גורן"
בקרוב אצלי,"אורנה בנאי, אושרי כהן, עדי חבשוש, שי אביבי, שירה נאור, תומר קאפון, תמיר בר"
ברלין בלוז,שירה נאור
בשבילה גיבורים עפים,"גיל פרנק, דן מור, ונסה שאלוט, יעל שרוני, מולי שולמן, מיכאל אלוני, משה אשכנזי, נדב נייטס, נילי רוגל, נינט טייב, עודד פהר, ריטה שוקרון, תומר קאפון"
בת השוטר,"הילה הרוש, טלי שרון, ליאור אשכנזי, ליאנה עיון, מוריס כהן, מתי אטלס, נטע גרטי, נצנת מקונן, עוז זהבי"
בתולות,"אלון אבוטבול, הלנה ירלובה, מגי אזרזר, מוריס כהן, נועם לוגסי, עירית שלג, צחי הלוי, רועי ניק, רותם אבוהב, ששון גבאי, תיקי דיין"
גאליס,"אליאנה תדהר, בן אדם, גאיה טראוב, גיא זוארץ, גל אמיתי, דנה פרידר, דניאל גד, דניאל מורשת, הדס קלדרון, יונית טובי, ליאור כהן, מאור שוויצר, מאיה שואף, מור פולנוהר, מיטל מיכאלי, נוה צור, עומר דרור, עמרי לוקאס, רוני דלומי, שירה נאור, שירן סנדל, שני אטיאס, תובל שפיר, תומר קאפון, תמר עמית יוסף"
גב האומה,ליאור שליין
גומרות הולכות,איילת זורר
גור ואוח,"אודי גוטשלק, אילן פלד, גיל קפטן, יוני להב, שרון קנטור"
גינת הפלאים של רינת,"גיא פרידמן, דודי גזית, ספי ריבלין, רוית יעקב, רינת גבאי"
דאוס,"מיכאל מושונוב, עדי הימלבלוי"
דיבוקים,"Aloïse Sauvage, Corentin Fila, Dominique Valadié, Nadia Tereszkiewicz, Reda Kateb, אריאן אסקריד, ז'ודית צ'מלה, נועה קולר, צ'קי קריו, צחי גראד, רועי ניק, שאדי מרעי"
דלת הקסמים,גדעון זינגר
דן ומוזלי,"בן פרי, דקלה הדר, טל בלכרוביץ', יובל סגל (1980), ירדן בר-כוכבא, ליאור כלפון, נעם פרנק, עידן אלתרמן"
דני הוליווד,"גאיה טראוב, גילה אלמגור, טל טלמון, רן דנקר, שי פלד, שירה קצנלנבוגן, שני כהן"
דפנה ודודידו,"גיא פרידמן, דפנה דקל"
האי,"אביגיל הררי, אפרת בן יעקב, דניאל מורשת, יון תומרקין, יעל גרובגלס, מיקי גבע, עוז זהבי"
האיש שרצה לדעת הכל (סדרת טלוויזיה),"אוהד קנולר, אורי לייזרוביץ', אימרי ביטון, אלי אלטוניו, טום באום, מוריס כהן, מיה דגן, משה פרסטר, נטע ריסקין, עינת הולנד, עירית קפלן, קרול וואירס"
האישה באפור,"ז'אק כהן, יחזקאל לזרוב, לימור גולדשטיין, מוטי כץ, עמוס לביא"
האלופה,"יהודה לוי, לירון וייסמן, לירז צ'רכי, מיכל גבריאלוב, עדי הימלבלוי, עפר שכטר"
הבאר,רומי אבירם
הבורר,"אניה בוקשטיין, יהודה לוי, לירית בלבן, משה איבגי, נטע גרטי, ציון ברוך, שלום מיכאלשווילי, שלומי קוריאט"
החברים של נאור,"ארז כהנא, בני אבני, דנה פרידר, יובל סמו, יוני זיכהולץ, מירב פלדמן, מלי לוי-גרשון, נאור ציון, שלומי קוריאט, תמר קינן"
